stock_ticker,long_business_summary,full_time_employees,sector,total_revenue,country,financial_currency,52_week_change,debt_to_equity,ebitda_margins,current_ratio,tokenized,lemmatized,vec1,vec2,vec3,vec4,vec5
RCL,"Royal Caribbean Group operates as a cruise company worldwide. The company operates cruises under the Royal Caribbean International, Celebrity Cruises, Azamara, and Silversea Cruises brands, which comprise a range of itineraries that call on approximately 1,000 destinations. As of December 31, 2020, it operated 61 ships with an aggregate capacity of approximately 137,930 berths. The company was founded in 1968 and is headquartered in Miami, Florida.",84900,Consumer Cyclical,93378000,United States,USD,0.36491716,276.117,0,1.07,"['Caribbean', 'Group', 'operates', 'cruise', 'company', 'company', 'operates', 'cruises', 'Royal', 'Caribbean', 'International', 'Celebrity', 'Cruises', 'Azamara', 'Silversea', 'Cruises', 'brands', 'comprise', 'range', 'itineraries', 'call', 'destinations', 'December', 'operated', 'ships', 'capacity', 'berths', 'company', 'was', 'founded', 'is', 'headquartered', 'Miami', 'Florida']","['caribbean', 'group', 'cruise', 'cruise', 'royal', 'caribbean', 'international', 'celebrity', 'cruises', 'azamara', 'silversea', 'cruises', 'comprise', 'range', 'itinerary', 'call', 'destination', 'december', 'operated', 'ship', 'capacity', 'berth', 'miami', 'florida']",1.0393105,0.6823985,3.499001,1.1042501,2.0634518
TWN,"The Taiwan Fund, Inc. is a closed-ended equity mutual fund launched and managed by JF International Management Inc. It invests in the public equity markets of Taiwan. The fund seeks to invest in stocks of companies operating across diversified sectors. It employs fundamental analysis focusing on such factors as overall growth prospects, competitive position in the respective industry, technology, research, and development, productivity, labor costs, raw material costs and sources, profit margins, return on investment, capital resources, government regulation, and management to create its portfolio. The fund benchmarks the performance of its portfolio against the TAIEX Total Return Index. The Taiwan Fund, Inc. was formed on December 23, 1986 and is domiciled in the United States.",,Financial Services,3919780,Hong Kong,USD,0.5846491,,0,3.045,"['Taiwan', 'Fund', 'Inc', 'is', 'ended', 'equity', 'fund', 'launched', 'managed', 'JF', 'International', 'Management', 'Inc', 'invests', 'equity', 'markets', 'Taiwan', 'fund', 'seeks', 'invest', 'stocks', 'companies', 'operating', 'sectors', 'employs', 'analysis', 'focusing', 'factors', 'growth', 'prospects', 'position', 'industry', 'technology', 'research', 'development', 'productivity', 'labor', 'costs', 'material', 'costs', 'sources', 'profit', 'margins', 'return', 'investment', 'capital', 'resources', 'government', 'regulation', 'management', 'create', 'portfolio', 'fund', 'benchmarks', 'performance', 'portfolio', 'TAIEX', 'Total', 'Return', 'Index', 'Taiwan', 'Fund', 'Inc', 'was', 'formed', 'December', 'is', 'domiciled', 'United', 'States']","['taiwan', 'equity', 'launched', 'managed', 'jf', 'international', 'equity', 'taiwan', 'seek', 'invest', 'stock', 'operating', 'sector', 'employ', 'analysis', 'focusing', 'factor', 'growth', 'prospect', 'position', 'industry', 'technology', 'research', 'development', 'productivity', 'labor', 'cost', 'material', 'cost', 'source', 'profit', 'margin', 'return', 'capital', 'resource', 'government', 'regulation', 'create', 'benchmark', 'performance', 'taiex', 'total', 'return', 'index', 'taiwan', 'formed', 'december', 'domiciled']",-1.2505805,-5.0194035,0.31497726,-6.6986284,0.0854187
GLOP,"GasLog Partners LP owns, operates, and acquires liquefied natural gas (LNG) carriers under multi-year charters. As of March 2, 2021, it operated a fleet of 15 LNG carriers with an average carrying capacity of approximately 158,000 cubic meters. The company was founded in 2014 and is based in Piraeus, Greece.",,Energy,315300992,Greece,USD,0.12602735,125.137,0.68247,0.773,"['GasLog', 'Partners', 'LP', 'owns', 'operates', 'acquires', 'liquefied', 'gas', 'LNG', 'carriers', 'year', 'charters', 'March', 'operated', 'fleet', 'LNG', 'carriers', 'capacity', 'meters', 'company', 'was', 'founded', 'is', 'based', 'Piraeus', 'Greece']","['gaslog', 'partners', 'lp', 'owns', 'acquires', 'liquefied', 'gas', 'lng', 'carrier', 'year', 'charter', 'march', 'operated', 'fleet', 'lng', 'carrier', 'capacity', 'meter', 'piraeus', 'greece']",3.318201,2.670848,0.71667874,-0.9088477,3.308798
LFG,"Rice Acquisition Corp. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in Carnegie, Pennsylvania.",,Utilities,,United States,USD,0.9424951,,0,4.972,"['Rice', 'Acquisition', 'Corp', 'does', 'have', 'operations', 'focuses', 'effecting', 'merger', 'capital', 'stock', 'exchange', 'asset', 'acquisition', 'stock', 'purchase', 'reorganization', 'business', 'combination', 'businesses', 'company', 'was', 'incorporated', 'is', 'based', 'Carnegie', 'Pennsylvania']","['rice', 'acquisition', 'corp', 'doe', 'operation', 'focus', 'effecting', 'merger', 'capital', 'stock', 'exchange', 'acquisition', 'stock', 'purchase', 'reorganization', 'combination', 'carnegie', 'pennsylvania']",1.1723769,0.193258,-0.52392685,-3.2029073,-1.5543933
BTCM,"BIT Mining Limited operates as a cryptocurrency mining company. It holds three hydroelectric cryptocurrency mines with combined electric power capacity of 435MW; and mining pool business, including the domain name and the cryptocurrency wallet of BTC.com, as well as purchases and deploys bitcoin mining machines. The company was formerly known as 500.com Limited and changed its name to BIT Mining Limited in April 2021. BIT Mining Limited was founded in 2001 and is headquartered in Hong Kong.",138,Technology,2908581120,Hong Kong,CNY,2.4761906,14.959,-0.02542,1.157,"['BIT', 'Mining', 'Limited', 'operates', 'cryptocurrency', 'mining', 'company', 'holds', 'cryptocurrency', 'mines', 'combined', 'power', 'capacity', 'mining', 'pool', 'business', 'including', 'domain', 'name', 'cryptocurrency', 'wallet', 'BTC', 'com', 'purchases', 'deploys', 'bitcoin', 'mining', 'machines', 'company', 'was', 'known', 'com', 'Limited', 'changed', 'name', 'BIT', 'Mining', 'Limited', 'April', 'BIT', 'Mining', 'Limited', 'was', 'founded', 'is', 'headquartered', 'Hong', 'Kong']","['bit', 'mining', 'limited', 'cryptocurrency', 'mining', 'hold', 'cryptocurrency', 'mine', 'combined', 'power', 'capacity', 'mining', 'pool', 'domain', 'cryptocurrency', 'wallet', 'btc', 'com', 'purchase', 'deploys', 'bitcoin', 'mining', 'machine', 'com', 'limited', 'changed', 'bit', 'mining', 'limited', 'april', 'bit', 'mining', 'limited', 'hong', 'kong']",10.790651,0.60018176,-3.6942558,-4.438946,5.234321
SFL,"SFL Corporation Ltd. engages in the ownership, operation, and chartering out of vessels and offshore related assets on medium and long-term charters. It is also involved in the charter, purchase, and sale of assets. In addition, the company operates in various sectors of the maritime, and shipping and offshore industry, including oil transportation, dry bulk shipments, chemical transportation, oil product transportation, container transportation, car transportation, and drilling rigs. As of June 14, 2021, it had a fleet of approximately 80 vessels, such as container vessels, bulkers, tankers, and offshore drilling rigs. It operates in Bermuda, Cyprus, Liberia, Norway, Singapore, the United Kingdom, and the Marshall Islands. The company was formerly known as Ship Finance International Limited and changed its name to SFL Corporation Ltd. in September 2019. SFL Corporation Ltd. was incorporated in 2003 and is based in Hamilton, Bermuda.",14,Industrials,452184992,Bermuda,USD,0.043708563,249.118,0.65463996,1.079,"['Corporation', 'Ltd', 'engages', 'ownership', 'operation', 'chartering', 'vessels', 'assets', 'medium', 'term', 'charters', 'is', 'involved', 'charter', 'purchase', 'sale', 'assets', 'addition', 'company', 'operates', 'sectors', 'maritime', 'shipping', 'industry', 'including', 'oil', 'transportation', 'dry', 'bulk', 'shipments', 'transportation', 'oil', 'product', 'transportation', 'container', 'transportation', 'car', 'transportation', 'drilling', 'rigs', 'June', 'had', 'fleet', 'vessels', 'container', 'vessels', 'bulkers', 'tankers', 'drilling', 'rigs', 'operates', 'Bermuda', 'Cyprus', 'Liberia', 'Norway', 'Singapore', 'United', 'Kingdom', 'Marshall', 'Islands', 'company', 'was', 'known', 'Ship', 'Finance', 'International', 'Limited', 'changed', 'name', 'SFL', 'Corporation', 'Ltd', 'September', 'SFL', 'Corporation', 'Ltd', 'was', 'incorporated', 'is', 'based', 'Hamilton', 'Bermuda']","['ltd', 'engages', 'ownership', 'operation', 'chartering', 'vessel', 'medium', 'term', 'charter', 'involved', 'charter', 'purchase', 'sale', 'sector', 'maritime', 'shipping', 'industry', 'oil', 'transportation', 'dry', 'bulk', 'shipment', 'transportation', 'oil', 'transportation', 'container', 'transportation', 'car', 'transportation', 'drilling', 'rig', 'june', 'fleet', 'vessel', 'container', 'vessel', 'bulkers', 'tanker', 'drilling', 'rig', 'bermuda', 'cyprus', 'liberia', 'norway', 'singapore', 'kingdom', 'marshall', 'islands', 'ship', 'finance', 'international', 'limited', 'changed', 'sfl', 'ltd', 'september', 'sfl', 'ltd', 'hamilton', 'bermuda']",4.5212407,6.6859727,1.9780577,-6.3908114,7.464607
BIF,"Boulder Growth & Income Fund, Inc. is a closed-ended balanced mutual fund launched and managed by Boulder Investment Advisers, L.L.C. It is co-managed by Stewart West Indies Trading Co Ltd. and Rocky Mountain Advisers, Llc. The fund invests in public equity and fixed income markets across the globe. It seeks to invest in securities of companies operating across diversified industries. The fund primarily invests in dividend paying value stocks of companies across all capitalizations, as well as in fixed income securities issued by companies. It employs both fundamental and quantitative analysis with a bottom-up security picking approach, focusing on such factors as defensible businesses with solid financial positions and strong operating track records to create its portfolio. The fund benchmarks the performance of its portfolio against the S&P 500 Composite Index. Boulder Growth & Income Fund, Inc. was formed on December 7, 1972 and is domiciled in the United States.",,Financial Services,22508436,United States,USD,0.3538307,14.136,0,0.479,"['Boulder', 'Growth', 'Income', 'Fund', 'Inc', 'is', 'ended', 'balanced', 'fund', 'launched', 'managed', 'Boulder', 'Investment', 'Advisers', 'is', 'co', 'managed', 'Stewart', 'West', 'Indies', 'Trading', 'Co', 'Ltd', 'Rocky', 'Mountain', 'Advisers', 'Llc', 'fund', 'invests', 'equity', 'income', 'markets', 'globe', 'seeks', 'invest', 'securities', 'companies', 'operating', 'industries', 'fund', 'invests', 'dividend', 'paying', 'value', 'stocks', 'companies', 'capitalizations', 'income', 'securities', 'issued', 'companies', 'employs', 'analysis', 'security', 'picking', 'approach', 'focusing', 'factors', 'businesses', 'positions', 'operating', 'track', 'records', 'create', 'portfolio', 'fund', 'benchmarks', 'performance', 'portfolio', 'Composite', 'Index', 'Boulder', 'Growth', 'Income', 'Fund', 'Inc', 'was', 'formed', 'December', 'is', 'domiciled', 'United', 'States']","['boulder', 'growth', 'balanced', 'launched', 'managed', 'boulder', 'advisers', 'co', 'managed', 'stewart', 'west', 'indies', 'trading', 'co', 'ltd', 'rocky', 'mountain', 'advisers', 'llc', 'equity', 'globe', 'seek', 'invest', 'operating', 'industry', 'dividend', 'paying', 'value', 'stock', 'capitalization', 'issued', 'employ', 'analysis', 'picking', 'approach', 'focusing', 'factor', 'position', 'operating', 'track', 'record', 'create', 'benchmark', 'performance', 'composite', 'index', 'boulder', 'growth', 'formed', 'december', 'domiciled']",0.040376153,-7.9504704,2.3395002,-8.087067,3.4313073
STE,"STERIS plc provides infection prevention and other procedural products and services worldwide. It operates in three segments: Healthcare, Applied Sterilization Technologies, and Life Sciences. The Healthcare segment offers cleaning chemistries and sterility assurance products; accessories for gastrointestinal (GI) procedures, washers, sterilizers, and other pieces of capital equipment for the operation of a sterile processing department; and equipment used directly in the operating room, including surgical tables, lights, and connectivity solutions, as well as equipment management services. It also provides capital equipment installation, maintenance, upgradation, repair, and troubleshooting services; preventive maintenance programs and repair services; instrument and endoscope repair and maintenance services; and custom process improvement consulting and outsourced instrument sterile processing services. This segment offers its products and services to acute care hospitals and other healthcare settings. The Applied Sterilization Technologies segment provides contract sterilization and testing services for medical device and pharmaceutical manufacturers through a network of approximately 50 contract sterilization and laboratory facilities. The Life Sciences segment designs, manufactures and sells consumable products, such as formulated cleaning chemistries, barrier and sterility assurance products, steam and vaporized hydrogen peroxide sterilizers, and washer disinfectors. This segment also offers equipment installation, maintenance, upgradation, repair, and troubleshooting services; and preventive maintenance programs and repair services. The company is based in Dublin, Ireland.",13000,Healthcare,3407009024,Ireland,USD,0.294636,58.29,0.26417,1.754,"['STERIS', 'plc', 'provides', 'infection', 'prevention', 'products', 'services', 'worldwide', 'operates', 'segments', 'Healthcare', 'Applied', 'Sterilization', 'Technologies', 'Life', 'Sciences', 'Healthcare', 'segment', 'offers', 'cleaning', 'chemistries', 'sterility', 'assurance', 'products', 'accessories', 'GI', 'procedures', 'washers', 'sterilizers', 'pieces', 'capital', 'equipment', 'operation', 'processing', 'department', 'equipment', 'used', 'operating', 'room', 'including', 'tables', 'lights', 'connectivity', 'solutions', 'equipment', 'management', 'services', 'provides', 'capital', 'equipment', 'installation', 'maintenance', 'upgradation', 'repair', 'troubleshooting', 'services', 'maintenance', 'programs', 'repair', 'services', 'instrument', 'endoscope', 'repair', 'maintenance', 'services', 'process', 'improvement', 'consulting', 'outsourced', 'instrument', 'sterile', 'processing', 'services', 'segment', 'offers', 'products', 'services', 'acute', 'care', 'hospitals', 'healthcare', 'settings', 'Applied', 'Sterilization', 'Technologies', 'segment', 'provides', 'contract', 'sterilization', 'testing', 'services', 'device', 'manufacturers', 'network', 'contract', 'sterilization', 'laboratory', 'facilities', 'Life', 'Sciences', 'segment', 'designs', 'manufactures', 'sells', 'products', 'cleaning', 'chemistries', 'sterility', 'assurance', 'products', 'steam', 'vaporized', 'hydrogen', 'peroxide', 'sterilizers', 'disinfectors', 'segment', 'offers', 'equipment', 'installation', 'maintenance', 'upgradation', 'repair', 'troubleshooting', 'services', 'maintenance', 'programs', 'repair', 'services', 'company', 'is', 'based', 'Dublin', 'Ireland']","['steris', 'plc', 'infection', 'prevention', 'worldwide', 'healthcare', 'applied', 'sterilization', 'technologies', 'life', 'sciences', 'healthcare', 'cleaning', 'chemistry', 'sterility', 'assurance', 'accessory', 'gi', 'procedure', 'washer', 'sterilizer', 'piece', 'capital', 'equipment', 'operation', 'processing', 'department', 'equipment', 'used', 'operating', 'room', 'table', 'light', 'connectivity', 'equipment', 'capital', 'equipment', 'installation', 'maintenance', 'upgradation', 'repair', 'troubleshooting', 'maintenance', 'program', 'repair', 'instrument', 'endoscope', 'repair', 'maintenance', 'process', 'improvement', 'consulting', 'outsourced', 'instrument', 'sterile', 'processing', 'acute', 'care', 'hospital', 'healthcare', 'setting', 'applied', 'sterilization', 'technologies', 'contract', 'sterilization', 'testing', 'device', 'manufacturer', 'network', 'contract', 'sterilization', 'laboratory', 'facility', 'life', 'sciences', 'design', 'manufacture', 'cleaning', 'chemistry', 'sterility', 'assurance', 'steam', 'vaporized', 'hydrogen', 'peroxide', 'sterilizer', 'disinfectors', 'equipment', 'installation', 'maintenance', 'upgradation', 'repair', 'troubleshooting', 'maintenance', 'program', 'repair', 'dublin', 'ireland']",-1.5815332,4.254619,-0.1292588,-8.857157,-8.087415
TPGY,"TPG Pace Beneficial Finance Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2019 and is based in Fort Worth, Texas.",,Financial Services,,United States,USD,0.092213154,,0,0.005,"['TPG', 'Pace', 'Beneficial', 'Finance', 'Corp', 'focuses', 'effecting', 'merger', 'share', 'exchange', 'asset', 'acquisition', 'share', 'purchase', 'reorganization', 'business', 'combination', 'businesses', 'company', 'was', 'incorporated', 'is', 'based', 'Fort', 'Worth', 'Texas']","['tpg', 'pace', 'beneficial', 'finance', 'corp', 'focus', 'effecting', 'merger', 'share', 'exchange', 'acquisition', 'share', 'purchase', 'reorganization', 'combination', 'fort', 'worth', 'texas']",-1.2756706,-1.5364147,2.0488703,-2.232834,-1.6409622
BITE,"Bite Acquisition Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It intends to focus on the traditional and non-traditional restaurant sectors in North America. The company was founded in 2020 and is based in New York, New York.",,Financial Services,,United States,USD,-0.010204077,,0,0.178,"['Bite', 'Acquisition', 'Corp', 'focuses', 'effecting', 'merger', 'share', 'exchange', 'asset', 'acquisition', 'share', 'purchase', 'reorganization', 'business', 'combination', 'businesses', 'intends', 'focus', 'restaurant', 'sectors', 'North', 'America', 'company', 'was', 'founded', 'is', 'based', 'New', 'York', 'New', 'York']","['bite', 'acquisition', 'corp', 'focus', 'effecting', 'merger', 'share', 'exchange', 'acquisition', 'share', 'purchase', 'reorganization', 'combination', 'intends', 'focus', 'restaurant', 'sector', 'north', 'america']",-0.6858335,-1.4745729,0.7385504,-4.976618,-0.53162205
